School,TAN_CONF,TAN_WIN,SP+_WIN,DK_WinTotal,MGM_WinTotal,CZR_WinTotal,FD_WinTotal,DK_Championship,MGM_Championship,CZR_Championship,FD_Championship,DK_ConfChampionship,MGM_ConfChampionship,CZR_ConfChampionship,FD_ConfChampionship
Air Force,6.98,10.33,9.01,,,,,,,,,,,,
Akron,2.24,3.2,2.1,,,,,,,,,,,,
Alabama,8,11.99,10.51,,,,,,,,,,,,
Appalachian State,6.27,8.31,8.46,,,,,,,,,,,,
Arizona,3.02,4.48,2.36,,,,,,,,,,,,
Arizona State,5.74,8.06,9.15,,,,,,,,,,,,
Arkansas,4.82,7.48,6.6,,,,,,,,,,,,
Arkansas State,2.12,3.98,3.95,,,,,,,,,,,,
Army,0,7.27,8.14,,,,,,,,,,,,
Auburn,3.3,6.26,6.83,,,,,,,,,,,,
Ball State,1.76,3.33,2.8,,,,,,,,,,,,
Baylor,4.36,6.19,8.08,,,,,,,,,,,,
Boise State,5.85,8.14,9.09,,,,,,,,,,,,
Boston College,2.38,5.22,4.81,,,,,,,,,,,,
Bowling Green,3.01,3.82,4.87,,,,,,,,,,,,
Buffalo,3.11,4.67,5.33,,,,,,,,,,,,
BYU,0,10.71,9.17,,,,,,,,,,,,
California,2.97,4.78,5.73,,,,,,,,,,,,
Central Michigan,5.16,6.87,6.68,,,,,,,,,,,,
Charlotte,2.32,3.88,4.28,,,,,,,,,,,,
Cincinnati,7.08,10.58,10.61,,,,,,,,,,,,
Clemson,6.88,10.7,10.03,,,,,,,,,,,,
Coastal Carolina,5.12,7.92,8.34,,,,,,,,,,,,
Colorado,2.09,2.59,1.7,,,,,,,,,,,,
Colorado State,2.97,3.94,6.28,,,,,,,,,,,,
Connecticut,0,3.02,2.38,,,,,,,,,,,,
Duke,0.06,1.92,2.71,,,,,,,,,,,,
East Carolina,4.59,6.57,5.14,,,,,,,,,,,,
Eastern Michigan,5.05,7.47,4.76,,,,,,,,,,,,
Florida International,0.5,1.7,3.36,,,,,,,,,,,,
Florida,5.56,8.28,7.75,,,,,,,,,,,,
Florida Atlantic,2.6,3.67,4.53,,,,,,,,,,,,
Florida State,4.63,8.1,8.01,,,,,,,,,,,,
Fresno State,6.3,9.14,10.4,,,,,,,,,,,,
Georgia,7,10.74,11.18,,,,,,,,,,,,
Georgia Southern,2.78,4.69,5.43,,,,,,,,,,,,
Georgia State,4.41,6.46,7.02,,,,,,,,,,,,
Georgia Tech,1.72,3.43,2.65,,,,,,,,,,,,
Hawai'i,1.91,3.84,3.58,,,,,,,,,,,,
Houston,6.4,10.03,9.78,,,,,,,,,,,,
Illinois,1.62,3.56,3.53,,,,,,,,,,,,
Indiana,1.14,2.63,3.64,,,,,,,,,,,,
Iowa,6.28,8.77,7.57,,,,,,,,,,,,
Iowa State,4.62,6.79,6.06,,,,,,,,,,,,
Kansas,1.04,2.86,1.83,,,,,,,,,,,,
Kansas State,4.46,7.03,7.28,,,,,,,,,,,,
Kent State,2.55,3.55,4.95,,,,,,,,,,,,
Kentucky,5.28,8.54,7.94,,,,,,,,,,,,
Louisiana,4.43,6.5,8.94,,,,,,,,,,,,
Louisiana Tech,3.89,5.7,2.99,,,,,,,,,,,,
Louisville,3.92,6.86,7.29,,,,,,,,,,,,
LSU,2.7,4.99,5.01,,,,,,,,,,,,
Marshall,4.45,7.42,8.25,,,,,,,,,,,,
Maryland,3.41,5.8,6.54,,,,,,,,,,,,
UMass,0,2.65,2.93,,,,,,,,,,,,
Memphis,3.56,6.49,7.55,,,,,,,,,,,,
Miami,5.9,9.4,8.72,,,,,,,,,,,,
Miami (OH),6.24,7.71,7.32,,,,,,,,,,,,
Michigan,6.02,9.02,9.97,,,,,,,,,,,,
Michigan State,4.88,7.2,7.9,,,,,,,,,,,,
Middle Tennessee,3.95,5.86,4.08,,,,,,,,,,,,
Minnesota,5.41,7.75,8.72,,,,,,,,,,,,
Mississippi State,3.06,6.54,7.8,,,,,,,,,,,,
Missouri,1.25,3.77,5.84,,,,,,,,,,,,
Navy,2.37,4.42,2.31,,,,,,,,,,,,
NC State,5.89,9.78,9.08,,,,,,,,,,,,
Nebraska,5.91,8.52,7.68,,,,,,,,,,,,
Nevada,3.13,5.27,3.06,,,,,,,,,,,,
New Mexico,0.04,0.98,2.11,,,,,,,,,,,,
New Mexico State,0,2.38,2.54,,,,,,,,,,,,
North Carolina,4.5,7.28,7.54,,,,,,,,,,,,
North Texas,3.5,5.34,5.75,,,,,,,,,,,,
Northern Illinois,5.43,8.09,6.77,,,,,,,,,,,,
Northwestern,1.88,4.31,2.86,,,,,,,,,,,,
Notre Dame,0,7.41,9.58,,,,,,,,,,,,
Ohio,3.14,4.52,5.26,,,,,,,,,,,,
Ohio State,9,12,11.18,,,,,,,,,,,,
Oklahoma,5.76,8.15,9.91,,,,,,,,,,,,
Oklahoma State,5.85,8.43,7.8,,,,,,,,,,,,
Old Dominion,3.17,3.71,4.4,,,,,,,,,,,,
Ole Miss,3.04,5.92,8.09,,,,,,,,,,,,
Oregon,6.42,8.03,8.28,,,,,,,,,,,,
Oregon State,4.06,6.02,7.13,,,,,,,,,,,,
Penn State,5.95,8.6,8.06,,,,,,,,,,,,
Pittsburgh,6.12,9.94,9.26,,,,,,,,,,,,
Purdue,4.86,7.37,8.05,,,,,,,,,,,,
Rice,1.85,2.78,1.74,,,,,,,,,,,,
Rutgers,2.27,4.6,3.68,,,,,,,,,,,,
San Diego State,3.76,5.2,7.82,,,,,,,,,,,,
San Jose State,6.13,9.27,5.96,,,,,,,,,,,,
SMU,5.08,7.82,8.31,,,,,,,,,,,,
South Alabama,3.32,5.05,5.03,,,,,,,,,,,,
South Carolina,1.46,3.7,5.56,,,,,,,,,,,,
Southern Mississippi,4.54,5.82,5.81,,,,,,,,,,,,
Stanford,2.73,3.92,4.29,,,,,,,,,,,,
Syracuse,2.31,5.23,5.1,,,,,,,,,,,,
TCU,6.47,8.92,6.54,,,,,,,,,,,,
Temple,0.47,2.4,3.4,,,,,,,,,,,,
Tennessee,4.63,7.81,8.75,,,,,,,,,,,,
Texas,6.47,8.48,7.66,,,,,,,,,,,,
Texas A&M,5.61,9,8.96,,,,,,,,,,,,
Texas State,3.93,6.56,4.62,,,,,,,,,,,,
Texas Tech,3.46,4.81,5.7,,,,,,,,,,,,
Toledo,7.38,10.26,9.15,,,,,,,,,,,,
Troy,6.45,9.33,6.4,,,,,,,,,,,,
Tulane,4.65,8.01,5.98,,,,,,,,,,,,
Tulsa,2.34,4.25,5.53,,,,,,,,,,,,
UAB,4.74,7.56,7.48,,,,,,,,,,,,
UCF,5.24,8.39,9.3,,,,,,,,,,,,
UCLA,4.9,7.81,8.56,,,,,,,,,,,,
Louisiana Monroe,1.14,1.68,1.51,,,,,,,,,,,,
UNLV,3.2,4.89,4.73,,,,,,,,,,,,
USC,4.64,6.67,5.77,,,,,,,,,,,,
South Florida,1.87,2.87,3.33,,,,,,,,,,,,
Utah,8.09,10.73,9.49,,,,,,,,,,,,
Utah State,4.06,5.56,6,,,,,,,,,,,,
UTEP,2.53,4.57,4.49,,,,,,,,,,,,
UT San Antonio,2.31,3.49,7.97,,,,,,,,,,,,
Vanderbilt,0.65,2.02,1.74,,,,,,,,,,,,
Virginia,3.48,6.8,6.45,,,,,,,,,,,,
Virginia Tech,4.79,8.37,6.55,,,,,,,,,,,,
Wake Forest,3.68,7.33,7.23,,,,,,,,,,,,
Washington,6.67,9.29,6.69,,,,,,,,,,,,
Washington State,2.55,4.49,5.22,,,,,,,,,,,,
West Virginia,2.61,3.7,5.54,,,,,,,,,,,,
Western Kentucky,3.88,7.12,5.79,,,,,,,,,,,,
Western Michigan,2.89,4,7.81,,,,,,,,,,,,
Wisconsin,5.62,8.23,8.85,,,,,,,,,,,,
Wyoming,3.65,5.42,5.98,,,,,,,,,,,,
Liberty,0,7.83,7.86,,,,,,,,,,,,