"Sportsbook","Team","OverTotal","OverOdds","UnderTotal","UnderOdds","Date"
"BetMGM","Baylor","7.5","-155","7.5","+130","2022-09-01"
"BetMGM","Boston College","6.5","+115","6.5","-140","2022-09-01"
"BetMGM","California","5.5","-125","5.5","+105","2022-09-01"
"BetMGM","Clemson","10.5","+110","10.5","-130","2022-09-01"
"BetMGM","Colorado","3.5","+165","3.5","-200","2022-09-01"
"BetMGM","Georgia Tech","3.5","+110","3.5","-135","2022-09-01"
"BetMGM","Iowa","7.5","-110","7.5","-110","2022-09-01"
"BetMGM","Kansas","2.5","-145","2.5","+120","2022-09-01"
"BetMGM","Miami (FL)","8.5","-135","8.5","+110","2022-09-01"
"BetMGM","Michigan","9.5","-145","9.5","+120","2022-09-01"
"BetMGM","Michigan State","7.5","-140","7.5","+115","2022-09-01"
"BetMGM","Minnesota","7.5","-135","7.5","+110","2022-09-01"
"BetMGM","Mississippi State","6.5","-155","6.5","+130","2022-09-01"
"BetMGM","NC State","8.5","-160","8.5","+135","2022-09-01"
"BetMGM","Ole Miss","7.5","-150","7.5","+125","2022-09-01"
"BetMGM","Oregon","8.5","-130","8.5","+110","2022-09-01"
"BetMGM","Penn State","8.5","-105","8.5","-115","2022-09-01"
"BetMGM"," Pittsburgh","8.5","-115","8.5","-105","2022-09-01"
"BetMGM","Purdue","7.5","+115","7.5","-140","2022-09-01"
"BetMGM","Stanford","4.5","+105","4.5","-125","2022-09-01"
"BetMGM","TCU","6.5","-145","6.5","+120","2022-09-01"
"BetMGM","Texas A&M","8.5","-165","8.5","+135","2022-09-01"
"BetMGM","Texas","8.5","+105","8.5","-125","2022-09-01"
"BetMGM","Texas Tech","5.5","-135","5.5","+110","2022-09-01"
"BetMGM","USC","9.5","+100","9.5","-120","2022-09-01"
"BetMGM","Virginia","7.5","+135","7.5","-160","2022-09-01"
"BetMGM","Washington","7.5","-125","7.5","+105","2022-09-01"
"BetMGM","Washington State","5.5","+105","5.5","-125","2022-09-01"
"BetMGM","West Virginia","5.5","-120","5.5","+100","2022-09-01"
"BetMGM","Wisconsin","8.5","-140","8.5","+120","2022-09-01"
"BetMGM","Iowa State","6.5","-120","6.5","+100","2022-09-01"
"BetMGM","Oklahoma State","8.5","+105","8.5","-125","2022-09-01"
"BetMGM","Louisville","6.5","+105","6.5","-125","2022-09-01"
"BetMGM","Alabama","11.5","+110","11.5","-135","2022-09-01"
"BetMGM","Notre Dame","8.5","-150","8.5","+125","2022-09-01"
"BetMGM","Oklahoma","9","-135","9","+110","2022-09-01"
"BetMGM","Oregon State","6.5","+105","6.5","-125","2022-09-01"
"BetMGM","Maryland","6","-120","6","+100","2022-09-01"
"BetMGM","Duke","3","-110","3","-110","2022-09-01"
"BetMGM","Utah","9","-135","9","+110","2022-09-01"
"BetMGM","Air Force","8.5","-145","8.5","+120","2022-09-01"
"BetMGM","Akron","2.5","-105","2.5","-115","2022-09-01"
"BetMGM","Appalachian State","8.5","-110","8.5","-110","2022-09-01"
"BetMGM","Middle Tennessee","5.5","-105","5.5","-115","2022-09-01"
"BetMGM","Navy","4.5","+115","4.5","-140","2022-09-01"
"BetMGM","New Mexico","2.5","-120","2.5","+100","2022-09-01"
"BetMGM","Northern Illinois","7","+110","7","-130","2022-09-01"
"BetMGM","Ohio","5.5","-110","5.5","-110","2022-09-01"
"BetMGM","Rice","3.5","+125","3.5","-155","2022-09-01"
"BetMGM","San Diego State","7.5","-130","7.5","+110","2022-09-01"
"BetMGM","San Jose State","6.5","+110","6.5","-135","2022-09-01"
"BetMGM","SMU","6.5","-175","6.5","+145","2022-09-01"
"BetMGM","South Alabama","5.5","-125","5.5","+105","2022-09-01"
"BetMGM","South Florida","4.5","+115","4.5","-140","2022-09-01"
"BetMGM","Southern Miss","4.5","-165","4.5","+140","2022-09-01"
"BetMGM","Temple","2.5","-150","2.5","+125","2022-09-01"
"BetMGM","Texas State","4.5","-110","4.5","-110","2022-09-01"
"BetMGM","Troy","6.5","-105","6.5","-115","2022-09-01"
"BetMGM","Tulsa","5.5","-140","5.5","+115","2022-09-01"
"BetMGM","UAB","8.5","-110","8.5","-110","2022-09-01"
"BetMGM","UCF","8.5","-155","8.5","+130","2022-09-01"
"BetMGM","UTSA","8.5","+125","8.5","-150","2022-09-01"
"BetMGM","Western Michigan","6.5","+135","6.5","-165","2022-09-01"
"BetMGM","Buffalo","5.5","+105","5.5","-125","2022-09-01"
"BetMGM","BYU","8.5","+100","8.5","-120","2022-09-01"
"BetMGM","Central Michigan","7.5","+100","7.5","-120","2022-09-01"
"BetMGM","Coastal Carolina","7.5","-155","7.5","+130","2022-09-01"
"BetMGM","East Carolina","6.5","+110","6.5","-130","2022-09-01"
"BetMGM","Fresno State","8.5","-155","8.5","+130","2022-09-01"
"BetMGM","Georgia State","7.5","+125","7.5","-150","2022-09-01"
"BetMGM","Kent State","5.5","+100","5.5","-120","2022-09-01"
"BetMGM","Liberty","6.5","-165","6.5","+140","2022-09-01"
"BetMGM","Louisiana","8.5","-120","8.5","+100","2022-09-01"
"BetMGM","Louisiana Tech","4.5","-140","4.5","+115","2022-09-01"
"BetMGM","Louisiana-Monroe","2.5","-130","2.5","+110","2022-09-01"
"BetMGM","Marshall","7.5","-105","7.5","-115","2022-09-01"
"BetMGM","UMass","2.5","+110","2.5","-130","2022-09-01"
"BetMGM","Miami (OH)","6.5","-145","6.5","+120","2022-09-01"
"BetMGM","Georgia Southern","4.5","+120","4.5","-145","2022-09-01"
"BetMGM","Boise State","9","-120","9","+100","2022-09-01"
"BetMGM","Bowling Green","3.5","-185","3.5","+145","2022-09-01"
"BetMGM","Cincinnati","9","-140","9","+115","2022-09-01"
"BetMGM","Colorado State","5.5","-155","5.5","+130","2022-09-01"
"BetMGM","Memphis","7.5","+120","7.5","-145","2022-09-01"
"BetMGM","Old Dominion","4.5","+100","4.5","-120","2022-09-01"
"BetMGM","Arkansas","7.5","+125","7.5","-150","2022-09-01"
"BetMGM","LSU","6.5","-145","6.5","+120","2022-09-01"
"BetMGM","Auburn","6.5","+130","6.5","-160","2022-09-01"
"BetMGM","Virginia Tech","6.5","+135","6.5","-160","2022-09-01"
"BetMGM","South Carolina","6.5","+100","6.5","-120","2022-09-01"
"BetMGM","Rutgers","4","-115","4","-105","2022-09-01"
"BetMGM","Ohio State","11","-140","11","+115","2022-09-01"
"BetMGM","Georgia","11","-120","11","+100","2022-09-01"
"BetMGM","UCLA","8.5","+100","8.5","-120","2022-09-01"
"BetMGM","Kentucky","7.5","-145","7.5","+120","2022-09-01"
"BetMGM","Ball State","4.5","-140","4.5","+115","2022-09-01"
"BetMGM","Tennessee","8","-105","8","-115","2022-09-01"
"BetMGM","Arizona State","6","+110","6","-135","2022-09-01"
"BetMGM","FIU","3","-115","3","-105","2022-09-01"
"BetMGM","Arkansas State","4.5","-120","4.5","+100","2022-09-01"
"BetMGM","Kansas State","7","-145","7","+120","2022-09-01"
"BetMGM","Army","8.5","-110","8.5","-110","2022-09-01"
"BetMGM","Houston","9.5","+140","9.5","-165","2022-09-01"
"BetMGM","Tulane","6","-120","6","+100","2022-09-01"
"BetMGM","Eastern Michigan","6","+140","6","-165","2022-09-01"
"BetMGM","Arizona","3","-145","3","+120","2022-09-01"
"BetMGM","Toledo","8","-120","8","+100","2022-09-01"
"BetMGM","Syracuse","5","+120","5","-145","2022-09-01"
"BetMGM","Florida","7","-125","7","+105","2022-09-01"
"BetMGM","Indiana","4","-130","4","+110","2022-09-01"
"Caesars","Michigan State Spartans","7.5","+120","7.5","-149","2022-09-01"
"Caesars","Old Dominion Monarchs","4.5","+100","4.5","-130","2022-09-01"
"Caesars","Brigham Young Cougars","8","-135","8","+105","2022-09-01"
"Caesars","Tennessee Volunteers","8","-105","8","-125","2022-09-01"
"Caesars","Ohio State Buckeyes","11","-150","11","+120","2022-09-01"
"Caesars","Air Force Falcons","8.5","-160","8.5","+130","2022-09-01"
"Caesars","Buffalo Bulls","5","-110","5","-120","2022-09-01"
"Caesars","Memphis Tigers","7.5","+100","7.5","-130","2022-09-01"
"Caesars","East Carolina Pirates","6.5","+130","6.5","-160","2022-09-01"
"Caesars","Texas Tech Red Raiders","5.5","-140","5.5","+110","2022-09-01"
"Caesars","Coastal Carolina Chanticleers","8","-115","8","-115","2022-09-01"
"Caesars","Penn State Nittany Lions","8.5","-105","8.5","-125","2022-09-01"
"Caesars","UCF Knights","9.5","+110","9.5","-140","2022-09-01"
"Caesars","South Carolina Gamecocks","6.5","-130","6.5","+100","2022-09-01"
"Caesars","Virginia Cavaliers","7","+100","7","-130","2022-09-01"
"Caesars","Appalachian State Mountaineers","9","+105","9","-135","2022-09-01"
"Caesars","Oklahoma State Cowboys","8.5","-115","8.5","-115","2022-09-01"
"Caesars","Northern Illinois Huskies","7","-105","7","-125","2022-09-01"
"Caesars","Florida Gators","7","-145","7","+115","2022-09-01"
"Caesars","Louisiana-Monroe Warhawks","2.5","-115","2.5","-115","2022-09-01"
"Caesars","SMU Mustangs","7","-125","7","-105","2022-09-01"
"Caesars","UTSA Roadrunners","8.5","+110","8.5","-140","2022-09-01"
"Caesars","Ole Miss Rebels","7.5","-150","7.5","+120","2022-09-01"
"Caesars","Eastern Michigan Eagles","5.5","+100","5.5","-130","2022-09-01"
"Caesars","Maryland Terrapins","6","-120","6","-110","2022-09-01"
"Caesars","Purdue Boilermakers","7","-140","7","+110","2022-09-01"
"Caesars","Texas Longhorns","8.5","-110","8.5","-120","2022-09-01"
"Caesars","Texas A&M Aggies","8.5","-170","8.5","+140","2022-09-01"
"Caesars","San Diego State Aztecs","7.5","-120","7.5","-110","2022-09-01"
"Caesars","Boston College Eagles","6.5","+100","6.5","-130","2022-09-01"
"Caesars","Marshall Thundering Herd","7.5","+100","7.5","-130","2022-09-01"
"Caesars","Alabama Crimson Tide","11","-160","11","+130","2022-09-01"
"Caesars","Pittsburgh Panthers","8.5","-105","8.5","-125","2022-09-01"
"Caesars","Kent State Golden Flashes","5.5","+100","5.5","-120","2022-09-01"
"Caesars","Fresno State Bulldogs","9","-110","9","-120","2022-09-01"
"Caesars","Liberty Flames","7.5","-115","7.5","-115","2022-09-01"
"Caesars","Florida International Panthers","3","-140","3","+110","2022-09-01"
"Caesars","Clemson Tigers","10.5","+120","10.5","-150","2022-09-01"
"Caesars","Colorado Buffaloes","3","+120","3","-150","2022-09-01"
"Caesars","Kansas Jayhawks","2.5","-160","2.5","+130","2022-09-01"
"Caesars","Washington State Cougars","5","-140","5","+110","2022-09-01"
"Caesars","Arkansas Razorbacks","7","-125","7","-105","2022-09-01"
"Caesars","LSU Tigers","7","-110","7","-120","2022-09-01"
"Caesars","South Florida Bulls","4","-130","4","+100","2022-09-01"
"Caesars","Duke Blue Devils","3","-130","3","+100","2022-09-01"
"Caesars","Georgia Tech Yellow Jackets","3","-120","3","-110","2022-09-01"
"Caesars","Navy Midshipmen","4","-140","4","+110","2022-09-01"
"Caesars","Wake Forest Demon Deacons","7","-110","7","-120","2022-09-01"
"Caesars","Kansas State Wildcats","7","-150","7","+120","2022-09-01"
"Caesars","Bowling Green Falcons","4.5","-115","4.5","-115","2022-09-01"
"Caesars","Akron Zips","2.5","-110","2.5","-120","2022-09-01"
"Caesars","Ohio Bobcats","5.5","-115","5.5","-115","2022-09-01"
"Caesars","Boise State Broncos","8.5","-155","8.5","+125","2022-09-01"
"Caesars","Western Michigan Broncos","6","-115","6","-105","2022-09-01"
"Caesars","Iowa Hawkeyes","7.5","-125","7.5","-105","2022-09-01"
"Caesars","Iowa State Cyclones","6.5","-125","6.5","-105","2022-09-01"
"Caesars","Southern Miss Golden Eagles","5.5","-105","5.5","-125","2022-09-01"
"Caesars","Miami (OH) RedHawks","6.5","-140","6.5","+110","2022-09-01"
"Caesars","Indiana Hoosiers","4","-105","4","-125","2022-09-01"
"Caesars","Louisville Cardinals","6.5","-105","6.5","-125","2022-09-01"
"Caesars","Middle Tennessee Blue Raiders","5.5","-115","5.5","-115","2022-09-01"
"Caesars","Arkansas State Red Wolves","5","+115","5","-145","2022-09-01"
"Caesars","Massachusetts Minutemen","2.5","+105","2.5","-125","2022-09-01"
"Caesars","Arizona State Sun Devils","6","+105","6","-135","2022-09-01"
"Caesars","UCLA Bruins","8.5","-115","8.5","-115","2022-09-01"
"Caesars","Georgia Southern Eagles","4","-130","4","+100","2022-09-01"
"Caesars","Oklahoma Sooners","9.5","+120","9.5","-150","2022-09-01"
"Caesars","Oregon Ducks","9","+110","9","-140","2022-09-01"
"Caesars","Virginia Tech Hokies","6","-120","6","-110","2022-09-01"
"Caesars","Louisiana-Lafayette Ragin' Cajuns","8.5","-125","8.5","-105","2022-09-01"
"Caesars","West Virginia Mountaineers","5.5","-120","5.5","-110","2022-09-01"
"Caesars","Rice Owls","2.5","-145","2.5","+115","2022-09-01"
"Caesars","Wisconsin Badgers","9","+100","9","-130","2022-09-01"
"Caesars","Oregon State Beavers","6","-140","6","+110","2022-09-01"
"Caesars","TCU Horned Frogs","6.5","-150","6.5","+120","2022-09-01"
"Caesars","North Carolina State Wolfpack","8.5","-180","8.5","+150","2022-09-01"
"Caesars","San Jose State Spartans","6","-130","6","+100","2022-09-01"
"Caesars","Rutgers Scarlet Knights","4","-115","4","-115","2022-09-01"
"Caesars","Baylor Bears","8","-115","8","-115","2022-09-01"
"Caesars","Utah Utes","9","-130","9","+100","2022-09-01"
"Caesars","Houston Cougars","9","+100","9","-130","2022-09-01"
"Caesars","Stanford Cardinal","4.5","+110","4.5","-140","2022-09-01"
"Caesars","Colorado State Rams","5.5","-140","5.5","+110","2022-09-01"
"Caesars","Notre Dame Fighting Irish","8.5","-130","8.5","+100","2022-09-01"
"Caesars","USC Trojans","9.5","+105","9.5","-135","2022-09-01"
"Caesars","Miami (FL) Hurricanes","8.5","-125","8.5","-105","2022-09-01"
"Caesars","Tulsa Golden Hurricane","5.5","-125","5.5","-105","2022-09-01"
"Caesars","Temple Owls","2.5","-140","2.5","+110","2022-09-01"
"Caesars","Minnesota Golden Gophers","8","-105","8","-125","2022-09-01"
"Caesars","Auburn Tigers","6","-130","6","+100","2022-09-01"
"Caesars","Syracuse Orange","4.5","-110","4.5","-120","2022-09-01"
"Caesars","Mississippi State Bulldogs","6.5","-170","6.5","+140","2022-09-01"
"Caesars","Georgia Bulldogs","11","-140","11","+110","2022-09-01"
"Caesars","Washington Huskies","7.5","-140","7.5","+110","2022-09-01"
"Caesars","Army Black Knights","8.5","-110","8.5","-120","2022-09-01"
"Caesars","Arizona Wildcats","3","-150","3","+120","2022-09-01"
"Caesars","Missouri Tigers","5","-150","5","+120","2022-09-01"
"Caesars","Troy Trojans","6.5","-115","6.5","-115","2022-09-01"
"Caesars","Michigan Wolverines","9.5","-140","9.5","+110","2022-09-01"
"Caesars","New Mexico Lobos","2.5","-120","2.5","-110","2022-09-01"
"Caesars","Cincinnati Bearcats","9.5","-115","9.5","-115","2022-09-01"
"Caesars","Louisiana Tech Bulldogs","5","-105","5","-115","2022-09-01"
